id,sport,startTime,averagePower,averageSpeed,averageHearRate,totalTime,totalDistance
8740964813,Ride,2023-03-19T09:01:26Z,0,13.0,151.1,13025,38.8
8735026497,Ride,2023-03-18T13:27:11Z,0,18.0,150.9,1360,6.4
8734368766,Ride,2023-03-18T11:46:42Z,0,15.9,151.5,1557,6.9
8725344493,Run,2023-03-16T16:52:56Z,218,8.0,149.0,2998,6.2
8725339188,Run,2023-03-15T17:20:50Z,205,7.6,154.3,3221,5.9
8704042511,Run,2023-03-12T17:03:24Z,248,9.0,132.0,2495,5.8
8701728602,Ride,2023-03-12T11:45:47Z,0,15.9,143.3,1753,7.6
8701128421,Ride,2023-03-12T10:39:59Z,0,16.5,143.2,1733,7.5
8697405682,Ride,2023-03-11T14:26:27Z,0,11.5,128.8,1740,4.8
8696487150,Ride,2023-03-11T13:27:39Z,0,13.2,101.6,3510,6.4
8695844248,Ride,2023-03-11T12:06:57Z,0,13.0,129.9,1976,6.6
8695159102,Ride,2023-03-11T10:24:01Z,0,15.3,143.2,1792,7.5
8638722606,Run,2023-02-28T21:31:48Z,243,9.2,86.7,1842,4.5
8637923668,Run,2023-02-28T18:48:11Z,225,8.2,163.4,2001,4.4
8637919023,Run,2023-02-28T15:41:22Z,227,8.4,139.5,2029,4.4
8631657759,Run,2023-02-27T16:37:55Z,214,8.0,138.8,2109,4.4
8631654549,Run,2023-02-26T15:53:31Z,237,9.0,162.9,903,1.8
8622328797,Run,2023-02-25T21:28:38Z,247,9.6,153.6,1661,4.4
8590220713,Run,2023-02-19T17:40:05Z,207,7.4,151.7,2230,4.5
8582099319,Run,2023-02-18T13:42:16Z,197,6.8,149.8,2574,4.6
8577808496,Run,2023-02-17T19:21:34Z,202,7.2,151.2,2685,4.1
8577803066,Run,2023-02-17T14:19:46Z,204,7.8,157.1,2201,4.3
8533778933,Run,2023-02-09T18:46:15Z,202,7.5,150.9,2877,5.0
8522416951,Run,2023-02-07T18:38:53Z,192,7.2,149.4,2089,3.7
8512376576,Run,2023-02-05T19:28:45Z,185,6.9,139.2,2840,4.5
8503747153,Run,2023-02-04T13:31:44Z,226,7.9,141.6,2086,4.6
8489210452,Run,2023-02-01T18:14:32Z,189,7.1,141.4,2566,4.6
8446310323,Run,2023-01-22T12:00:15Z,204,7.4,164.9,2961,6.0
8292514487,Run,2022-12-26T10:37:08Z,0,7.5,155.2,2787,5.2
8446300306,Run,2022-12-08T13:31:16Z,165,7.0,144.5,3292,6.1
